Code,Title,Category,Name,Variant Name,Price,In Stock,URL
tuscany-dress-white,$49 Dress Sale,$49 Dress Sale,Tuscany Dress - White,XXS,69.00,True,https://petalandpup.com/products/tuscany-dress-white
teagan-strapless-midi-dress-green-floral,$49 Dress Sale,$49 Dress Sale,Teagan Strapless Midi Dress - Green Floral,XS,85.00,True,https://petalandpup.com/products/teagan-strapless-midi-dress-green-floral
cyprus-dress-emerald,$49 Dress Sale,$49 Dress Sale,Cyprus Dress - Emerald,0,59.00,False,https://petalandpup.com/products/cyprus-dress-emerald
xiomar-dress-pink,$49 Dress Sale,$49 Dress Sale,Xiomar Dress - Pink,0,69.00,True,https://petalandpup.com/products/xiomar-dress-pink
meg-dress-black,$49 Dress Sale,$49 Dress Sale,Meg Dress - Black,0,79.00,True,https://petalandpup.com/products/meg-dress-black
xiomar-dress-black,$49 Dress Sale,$49 Dress Sale,Xiomar Dress - Black,0,69.00,False,https://petalandpup.com/products/xiomar-dress-black
ariel-dress-rust,$49 Dress Sale,$49 Dress Sale,Ariel Dress - Rust,0,79.00,False,https://petalandpup.com/products/ariel-dress-rust
barker-dress-olive,$49 Dress Sale,$49 Dress Sale,Barker Dress - Olive,XS,69.00,True,https://petalandpup.com/products/barker-dress-olive
mickenna-sweetheart-frill-midi-dress-emerald,$49 Dress Sale,$49 Dress Sale,Mickenna Sweetheart Frill Midi Dress - Emerald,XS,69.00,True,https://petalandpup.com/products/mickenna-sweetheart-frill-midi-dress-emerald
edwina-shirred-frill-long-sleeve-midi-dress-navy-floral,$49 Dress Sale,$49 Dress Sale,Edwina Shirred Frill Long Sleeve Midi Dress - Navy Floral,XS,39.97,False,https://petalandpup.com/products/edwina-shirred-frill-long-sleeve-midi-dress-navy-floral
luella-dress-rust,$49 Dress Sale,$49 Dress Sale,Luella Dress - Rust,0,23.97,False,https://petalandpup.com/products/luella-dress-rust
yvonne-hi-lo-midi-dress-emerald,$49 Dress Sale,$49 Dress Sale,Yvonne Hi Lo Midi Dress - Emerald,XS,79.00,True,https://petalandpup.com/products/yvonne-hi-lo-midi-dress-emerald
jordyn-cut-out-mini-dress-black,$49 Dress Sale,$49 Dress Sale,Jordyn Cut Out Mini Dress - Black,XS,75.00,False,https://petalandpup.com/products/jordyn-cut-out-mini-dress-black
amanda-hi-lo-tie-front-dress-emerald,$49 Dress Sale,$49 Dress Sale,Amanda Hi Lo Tie Front Dress - Emerald,XS,79.00,True,https://petalandpup.com/products/amanda-hi-lo-tie-front-dress-emerald
cyprus-dress-navy,$49 Dress Sale,$49 Dress Sale,Cyprus Dress - Navy,0,59.00,True,https://petalandpup.com/products/cyprus-dress-navy
persia-dress-green,$49 Dress Sale,$49 Dress Sale,Persia Dress - Green,0,59.00,True,https://petalandpup.com/products/persia-dress-green
persia-dress-black,$49 Dress Sale,$49 Dress Sale,Persia Dress - Black,0,59.00,False,https://petalandpup.com/products/persia-dress-black
persia-dress-navy,$49 Dress Sale,$49 Dress Sale,Persia Dress - Navy,0,59.00,True,https://petalandpup.com/products/persia-dress-navy
cyprus-dress-gold,$49 Dress Sale,$49 Dress Sale,Cyprus Dress - Gold,0,59.00,True,https://petalandpup.com/products/cyprus-dress-gold
eloise-dress-black,$49 Dress Sale,$49 Dress Sale,Eloise Dress - Black,0,99.00,True,https://petalandpup.com/products/eloise-dress-black
neveah-pant-green,$49 Summer Savings,$49 Summer Savings,Neveah Pant - Green,XS,59.00,False,https://petalandpup.com/products/neveah-pant-green
zanita-set-black,$49 Summer Savings,$49 Summer Savings,Zanita Set - Black,XS,99.00,True,https://petalandpup.com/products/zanita-set-black
forever-dress-pink,$49 Summer Savings,$49 Summer Savings,Forever Dress - Pink,0,89.00,True,https://petalandpup.com/products/forever-dress-pink
marabella-shirred-mini-dress-blue,$49 Summer Savings,$49 Summer Savings,Marabella Shirred Mini Dress - Blue,S,33.97,False,https://petalandpup.com/products/marabella-shirred-mini-dress-blue
angelique-dress-beige-spot,$49 Summer Savings,$49 Summer Savings,Angelique Dress - Beige Spot,0,69.00,True,https://petalandpup.com/products/angelique-dress-beige-spot
circus-dress-spice,$49 Summer Savings,$49 Summer Savings,Circus Dress - Spice,XXS,27.97,True,https://petalandpup.com/products/circus-dress-spice
barker-dress-pink,$49 Summer Savings,$49 Summer Savings,Barker Dress - Pink,XS,69.00,True,https://petalandpup.com/products/barker-dress-pink
gianna-knitted-set-blush,$49 Summer Savings,$49 Summer Savings,Gianna Knitted Set - Blush,XS,62.97,False,https://petalandpup.com/products/gianna-knitted-set-blush
patrice-frill-peplum-top-navy-blue,$49 Summer Savings,$49 Summer Savings,Patrice Frill Peplum Top - Navy Blue,XS,9.97,False,https://petalandpup.com/products/patrice-frill-peplum-top-navy-blue
ayla-top-sage-multi,$49 Summer Savings,$49 Summer Savings,Ayla Top - Sage Multi,2,11.97,False,https://petalandpup.com/products/ayla-top-sage-multi
tammy-cord-skirt-brick,$50 And Under Styles,$50 And Under Styles,Tammy Cord Skirt - Brick,S,34.97,True,https://petalandpup.com/products/tammy-cord-skirt-brick
morgan-suede-look-legging-olive,$50 And Under Styles,$50 And Under Styles,Morgan Suede Look Legging - Olive,S,24.97,False,https://petalandpup.com/products/morgan-suede-look-legging-olive
whitney-midi-skirt-brown,$50 And Under Styles,$50 And Under Styles,Whitney Midi Skirt - Brown,S,24.97,False,https://petalandpup.com/products/whitney-midi-skirt-brown
cora-ruffle-sleeve-sweatshirt-black,$50 And Under Styles,$50 And Under Styles,Cora Ruffle Sleeve Sweatshirt - Black,S,49.00,True,https://petalandpup.com/products/cora-ruffle-sleeve-sweatshirt-black
gemma-v-neck-tank-top-camel,$50 And Under Styles,$50 And Under Styles,Gemma V Neck Tank Top - Camel,XS,45.00,True,https://petalandpup.com/products/gemma-v-neck-tank-top-camel
gemma-v-neck-tank-top-ivory,$50 And Under Styles,$50 And Under Styles,Gemma V Neck Tank Top - Ivory,XS,45.00,True,https://petalandpup.com/products/gemma-v-neck-tank-top-ivory
runie-top-black,$50 And Under Styles,$50 And Under Styles,Runie Top - Black,XS/S,39.00,True,https://petalandpup.com/products/runie-top-black
runie-top-white,$50 And Under Styles,$50 And Under Styles,Runie Top - White,XS/S,39.00,True,https://petalandpup.com/products/runie-top-white
natalie-bodysuit-black,$50 And Under Styles,$50 And Under Styles,Natalie Bodysuit - Black,XS,39.00,True,https://petalandpup.com/products/natalie-bodysuit-black
meg-tulle-ruffle-sleeve-bodysuit-white,$50 And Under Styles,$50 And Under Styles,Meg Tulle Ruffle Sleeve Bodysuit - White,S,19.97,False,https://petalandpup.com/products/meg-tulle-ruffle-sleeve-bodysuit-white
hairclip-set-gold-pearl,$50 And Under Styles,$50 And Under Styles,Hairclip Set - Gold/Pearl,One Size,25.00,True,https://petalandpup.com/products/hairclip-set-gold-pearl
eleanor-cropped-top-beige,$50 And Under Styles,$50 And Under Styles,Eleanor Cropped Top - Beige,XS,27.30,False,https://petalandpup.com/products/eleanor-cropped-top-beige
ari-ribbed-tank-top-black,$50 And Under Styles,$50 And Under Styles,Ari Ribbed Tank Top - Black,XS,39.00,True,https://petalandpup.com/products/ari-ribbed-tank-top-black
eleanor-cropped-top-black,$50 And Under Styles,$50 And Under Styles,Eleanor Cropped Top - Black,XS,39.00,True,https://petalandpup.com/products/eleanor-cropped-top-black
ari-ribbed-tank-top-beige,$50 And Under Styles,$50 And Under Styles,Ari Ribbed Tank Top - Beige,XS,39.00,True,https://petalandpup.com/products/ari-ribbed-tank-top-beige
eleanor-cropped-top-green,$50 And Under Styles,$50 And Under Styles,Eleanor Cropped Top - Green,XS,39.00,False,https://petalandpup.com/products/eleanor-cropped-top-green
davie-ribbed-knit-top-white,$50 And Under Styles,$50 And Under Styles,Davie Ribbed Knit Top - White,XS,39.00,True,https://petalandpup.com/products/davie-ribbed-knit-top-white
jordana-one-shoulder-bodysuit-white,$50 And Under Styles,$50 And Under Styles,Jordana One Shoulder Bodysuit - White,2,49.00,True,https://petalandpup.com/products/jordana-one-shoulder-bodysuit-white
tobi-top-white,$50 And Under Styles,$50 And Under Styles,Tobi Top - White,0,39.00,True,https://petalandpup.com/products/tobi-top-white
nicola-top-brown,$50 And Under Styles,$50 And Under Styles,Nicola Top - Brown,0,39.00,False,https://petalandpup.com/products/nicola-top-brown
martina-ribbed-top-black-stripe,$50 And Under Styles,$50 And Under Styles,Martina Ribbed Top - Black Stripe,XS,49.00,True,https://petalandpup.com/products/martina-ribbed-top-black-stripe
sonja-gather-top-black-teal,$50 And Under Styles,$50 And Under Styles,Sonja Gather Top - Black Teal,XS,29.97,True,https://petalandpup.com/products/sonja-gather-top-black-teal
saige-one-shoulder-top-black,$50 And Under Styles,$50 And Under Styles,Saige One Shoulder Top - Black,S,18.97,False,https://petalandpup.com/products/saige-one-shoulder-top-black
lilly-tee-white,$50 And Under Styles,$50 And Under Styles,Lilly Tee - White,S,11.97,False,https://petalandpup.com/products/lilly-tee-white
hawthorne-shorts-black,$50 And Under Styles,$50 And Under Styles,Hawthorne Shorts - Black,0,31.20,True,https://petalandpup.com/products/hawthorne-shorts-black
nocturnal-bottom-sungazer,$50 And Under Styles,$50 And Under Styles,Nocturnal Bottom - Sungazer,XS,8.97,True,https://petalandpup.com/products/nocturnal-bottom-sungazer
nocturnal-bottom-black-rib,$50 And Under Styles,$50 And Under Styles,Nocturnal Bottom - Black Rib,XS,8.97,True,https://petalandpup.com/products/nocturnal-bottom-black-rib
nocturnal-bottom-calypso-coral,$50 And Under Styles,$50 And Under Styles,Nocturnal Bottom - Calypso Coral,XS,8.97,False,https://petalandpup.com/products/nocturnal-bottom-calypso-coral
amalfi-top-cloud-rib,$50 And Under Styles,$50 And Under Styles,Amalfi Top - Cloud Rib,XS,9.97,True,https://petalandpup.com/products/amalfi-top-cloud-rib
trinny-pant-ocean-blue,$50 And Under Styles,$50 And Under Styles,Trinny Pant - Ocean Blue,S,14.97,True,https://petalandpup.com/products/trinny-pant-ocean-blue
penelope-top-south-pacific,$50 And Under Styles,$50 And Under Styles,Penelope Top - South Pacific,XS,9.97,True,https://petalandpup.com/products/penelope-top-south-pacific
mojave-bottom-creamsicle,$50 And Under Styles,$50 And Under Styles,Mojave Bottom - Creamsicle,XS,8.97,True,https://petalandpup.com/products/mojave-bottom-creamsicle
jilly-halter-top-hot-pink,$50 And Under Styles,$50 And Under Styles,Jilly Halter Top - Hot Pink,S,14.97,True,https://petalandpup.com/products/jilly-halter-top-hot-pink
zen-top-sungazer,$50 And Under Styles,$50 And Under Styles,Zen Top - Sungazer,XS,9.97,True,https://petalandpup.com/products/zen-top-sungazer
mojave-bottom-royal-blue,$50 And Under Styles,$50 And Under Styles,Mojave Bottom - Royal Blue,XS,8.97,True,https://petalandpup.com/products/mojave-bottom-royal-blue
nocturnal-bottom-limelight-rib,$50 And Under Styles,$50 And Under Styles,Nocturnal Bottom - Limelight Rib,XS,8.97,False,https://petalandpup.com/products/nocturnal-bottom-limelight-rib
bisou-bottom-poppy,$50 And Under Styles,$50 And Under Styles,Bisou Bottom - Poppy,XS,8.97,True,https://petalandpup.com/products/bisou-bottom-poppy
eternal-top-creamsicle,$50 And Under Styles,$50 And Under Styles,Eternal Top - Creamsicle,XS,9.97,True,https://petalandpup.com/products/eternal-top-creamsicle
gigi-top-calypso-coral,$50 And Under Styles,$50 And Under Styles,Gigi Top - Calypso Coral,XS,9.97,True,https://petalandpup.com/products/gigi-top-calypso-coral
amalfi-top-limelight-rib,$50 And Under Styles,$50 And Under Styles,Amalfi Top - Limelight Rib,XS,9.97,False,https://petalandpup.com/products/amalfi-top-limelight-rib
large-satin-floral-ruffle-pouch-floral,$50 And Under Styles,$50 And Under Styles,Large Satin Floral Ruffle Pouch - Floral,One Size,19.00,True,https://petalandpup.com/products/large-satin-floral-ruffle-pouch-floral
gift-card,$50 And Under Styles,$50 And Under Styles,Digital Gift Card,$10,10.00,True,https://petalandpup.com/products/gift-card
cortez-crop-top-black,$50 And Under Styles,$50 And Under Styles,Cortez Crop Top - Black,XS,24.97,False,https://petalandpup.com/products/cortez-crop-top-black
emilia-wrap-top-beige-ivory,$50 And Under Styles,$50 And Under Styles,Emilia Wrap Top - Beige Ivory,S,15.97,True,https://petalandpup.com/products/emilia-wrap-top-beige-ivory
lily-top-ivory,$50 And Under Styles,$50 And Under Styles,Lily Top - Ivory,S,19.97,True,https://petalandpup.com/products/lily-top-ivory
henry-jumpsuit-navy,$50 And Under Styles,$50 And Under Styles,Henry Jumpsuit - Navy,XS,34.97,True,https://petalandpup.com/products/henry-jumpsuit-navy
dawn-color-block-knit-sweater-cream-lavender,$50 And Under Styles,$50 And Under Styles,Dawn Color Block Knit Sweater - Cream Lavender,XS,49.00,True,https://petalandpup.com/products/dawn-color-block-knit-sweater-cream-lavender
maggie-shorts-light-taupe,$50 And Under Styles,$50 And Under Styles,Maggie Shorts - Light Taupe,XS,39.00,True,https://petalandpup.com/products/maggie-shorts-light-taupe
hawthorne-shorts-beige,$50 And Under Styles,$50 And Under Styles,Hawthorne Shorts - Beige,0,39.00,False,https://petalandpup.com/products/hawthorne-shorts-beige
nocturnal-bottom-zen-garden,$50 And Under Styles,$50 And Under Styles,Nocturnal Bottom - Zen Garden,XS,8.97,False,https://petalandpup.com/products/nocturnal-bottom-zen-garden
emily-rib-top-black,$50 And Under Styles,$50 And Under Styles,Emily Rib Top - Black,XS,39.00,True,https://petalandpup.com/products/emily-rib-top-black
emily-rib-top-white,$50 And Under Styles,$50 And Under Styles,Emily Rib Top - White,XS,39.00,True,https://petalandpup.com/products/emily-rib-top-white
meena-one-shoulder-bodysuit-fuchsia,$50 And Under Styles,$50 And Under Styles,Meena One Shoulder Bodysuit - Fuchsia,S,19.97,False,https://petalandpup.com/products/meena-one-shoulder-bodysuit-fuchsia
kimmie-knit-top-black,$50 And Under Styles,$50 And Under Styles,Kimmie Knit Top - Black,XS,49.00,True,https://petalandpup.com/products/kimmie-knit-top-black
heather-cotton-short-blue-print,$50 And Under Styles,$50 And Under Styles,Heather Cotton Short - Blue Print,XS,17.97,True,https://petalandpup.com/products/heather-cotton-short-blue-print
bardot-bottom-ballet-slipper,$50 And Under Styles,$50 And Under Styles,Bardot Bottom - Ballet Slipper,XS,8.97,True,https://petalandpup.com/products/bardot-bottom-ballet-slipper
angel-bottom-ballet-slipper,$50 And Under Styles,$50 And Under Styles,Angel Bottom - Ballet Slipper,XS,8.97,True,https://petalandpup.com/products/angel-bottom-ballet-slipper
christina-top-ballet-slipper,$50 And Under Styles,$50 And Under Styles,Christina Top - Ballet Slipper,XS,9.97,True,https://petalandpup.com/products/christina-top-ballet-slipper
palma-bottom-dotted-pink,$50 And Under Styles,$50 And Under Styles,Palma Bottom - Dotted Pink,XS,8.97,True,https://petalandpup.com/products/palma-bottom-dotted-pink
poppi-bottom-dotted-pink,$50 And Under Styles,$50 And Under Styles,Poppi Bottom - Dotted Pink,XS,9.97,True,https://petalandpup.com/products/poppi-bottom-dotted-pink
zen-top-dotted-pink,$50 And Under Styles,$50 And Under Styles,Zen Top - Dotted Pink,XS,9.97,True,https://petalandpup.com/products/zen-top-dotted-pink
bardot-bottom-rosebud,$50 And Under Styles,$50 And Under Styles,Bardot Bottom - Rosebud,XS,8.97,True,https://petalandpup.com/products/bardot-bottom-rosebud
maeve-top-off-white,$50 And Under Styles,$50 And Under Styles,Maeve Top - Off White,S,14.97,False,https://petalandpup.com/products/maeve-top-off-white
clara-top-white,$50 And Under Styles,$50 And Under Styles,Clara Top - White,2,39.00,True,https://petalandpup.com/products/clara-top-white
lyles-knit-top-avocado,$50 And Under Styles,$50 And Under Styles,Lyles Knit Top - Avocado,S,35.00,True,https://petalandpup.com/products/lyles-knit-top-avocado
delilah-earrings-gold,$50 And Under Styles,$50 And Under Styles,Delilah Earrings - Gold,One Size,15.00,True,https://petalandpup.com/products/delilah-earrings-gold
nippies-non-adhesive-no-show-inserts-creme,$50 And Under Styles,$50 And Under Styles,Nippies Non-Adhesive No-Show Inserts - Creme,1,26.00,True,https://petalandpup.com/products/nippies-non-adhesive-no-show-inserts-creme
kloe-top-white-stripe,$50 And Under Styles,$50 And Under Styles,Kloe Top - White Stripe,XS,39.00,True,https://petalandpup.com/products/kloe-top-white-stripe
charlie-knit-top-white,$50 And Under Styles,$50 And Under Styles,Charlie Knit Top - White,XS,49.00,True,https://petalandpup.com/products/charlie-knit-top-white
brinnie-top-white,$50 And Under Styles,$50 And Under Styles,Brinnie Top - White,0,39.00,True,https://petalandpup.com/products/brinnie-top-white
yara-rib-knit-top-white,$50 And Under Styles,$50 And Under Styles,Yara Rib Knit Top - White,XS/S,45.00,True,https://petalandpup.com/products/yara-rib-knit-top-white
seashore-bottom-nostalgia-stripe,$50 And Under Styles,$50 And Under Styles,Seashore Bottom - Nostalgia Stripe,XS,8.97,True,https://petalandpup.com/products/seashore-bottom-nostalgia-stripe
lucy-bottom-nostalgia-stripe,$50 And Under Styles,$50 And Under Styles,Lucy Bottom - Nostalgia Stripe,XS,8.97,True,https://petalandpup.com/products/lucy-bottom-nostalgia-stripe
heidi-bodysuit-white,$50 And Under Styles,$50 And Under Styles,Heidi Bodysuit - White,XS,45.00,True,https://petalandpup.com/products/heidi-bodysuit-white
amalfi-top-nostalgia-stripe,$50 And Under Styles,$50 And Under Styles,Amalfi Top - Nostalgia Stripe,XS,9.97,True,https://petalandpup.com/products/amalfi-top-nostalgia-stripe
lola-top-nostalgia-stripe,$50 And Under Styles,$50 And Under Styles,Lola Top - Nostalgia Stripe,XS,9.97,False,https://petalandpup.com/products/lola-top-nostalgia-stripe
milla-knit-top-cream-mocha,$50 And Under Styles,$50 And Under Styles,Milla Knit Top - Cream Mocha,XS,49.00,True,https://petalandpup.com/products/milla-knit-top-cream-mocha
zen-top-dusty-rose,$50 And Under Styles,$50 And Under Styles,Zen Top - Dusty Rose,XS,9.97,False,https://petalandpup.com/products/zen-top-dusty-rose
seashore-bottom-dusty-rose,$50 And Under Styles,$50 And Under Styles,Seashore Bottom - Dusty Rose,XS,8.97,True,https://petalandpup.com/products/seashore-bottom-dusty-rose
palma-bottom-dusty-rose,$50 And Under Styles,$50 And Under Styles,Palma Bottom - Dusty Rose,XS,8.97,True,https://petalandpup.com/products/palma-bottom-dusty-rose
heidi-bodysuit-black,$50 And Under Styles,$50 And Under Styles,Heidi Bodysuit - Black,XS,39.00,True,https://petalandpup.com/products/heidi-bodysuit-black
mave-midi-skirt-sunflower,$50 And Under Styles,$50 And Under Styles,Mave Midi Skirt - Sunflower,XS,49.00,True,https://petalandpup.com/products/mave-midi-skirt-sunflower
mave-top-sunflower,$50 And Under Styles,$50 And Under Styles,Mave Top - Sunflower,XS,39.00,True,https://petalandpup.com/products/mave-top-sunflower
clara-top-beige,$50 And Under Styles,$50 And Under Styles,Clara Top - Beige,2,39.00,True,https://petalandpup.com/products/clara-top-beige
ari-ribbed-tank-top-white,$50 And Under Styles,$50 And Under Styles,Ari Ribbed Tank Top - White,XS,39.00,True,https://petalandpup.com/products/ari-ribbed-tank-top-white
ava-skirt-green,$50 And Under Styles,$50 And Under Styles,Ava Skirt - Green,0,49.00,True,https://petalandpup.com/products/ava-skirt-green
hampton-short-cream-multi,$50 And Under Styles,$50 And Under Styles,Hampton Short - Cream Multi,XS,49.00,True,https://petalandpup.com/products/hampton-short-cream-multi
claire-bracelet-gold,$50 And Under Styles,$50 And Under Styles,Claire Bracelet - Gold,One Size,22.00,True,https://petalandpup.com/products/claire-bracelet-gold
clara-top-black,$50 And Under Styles,$50 And Under Styles,Clara Top - Black,2,39.00,True,https://petalandpup.com/products/clara-top-black
elaine-ruffle-top-off-white,$50 And Under Styles,$50 And Under Styles,Elaine Ruffle Top - Off White,S,49.00,True,https://petalandpup.com/products/elaine-ruffle-top-off-white
wanda-shorts-white,$50 And Under Styles,$50 And Under Styles,Wanda Shorts - White,XS,31.20,False,https://petalandpup.com/products/wanda-shorts-white
